YEAR,FIPSSTCO,COUNTYNAME,ATTRIBUTES,MEASURE,VALUE
YR_2012,06081,San Mateo,Payer=Missing,Mean cost per stay $,†
YR_2012,06081,San Mateo,Payer=Missing,Aggregate costs for all hospital stays $,†
YR_2012,06081,San Mateo,Payer=Missing,Costs for inpatient stays per capita $,†
YR_2012,06087,Santa Cruz,Santa Cruz,Total number of discharges,24627.0000000000
YR_2012,06087,Santa Cruz,Santa Cruz,Rate of discharges per 100000 population,8811.8478867595
YR_2012,06087,Santa Cruz,Santa Cruz,Mean length of stay days,4.3941608803
YR_2012,06087,Santa Cruz,Santa Cruz,Aggregate number of days in the hospital,108215.0000000000
YR_2012,06087,Santa Cruz,Santa Cruz,Number of inpatient days per 100000 population,38720.6772674577
YR_2012,06087,Santa Cruz,Santa Cruz,Mean cost per stay $,16943.3142866022
YR_2012,06087,Santa Cruz,Santa Cruz,Aggregate costs for all hospital stays $,417263000.9361519800
YR_2012,06087,Santa Cruz,Santa Cruz,Costs for inpatient stays per capita $,1493.0190819110
YR_2012,06087,Santa Cruz,Age group=<1,Total number of discharges,3562.0000000000
YR_2012,06087,Santa Cruz,Age group=<1,Rate of discharges per 100000 population,92375.5186721992
YR_2012,06087,Santa Cruz,Age group=<1,Mean length of stay days,3.5008422235
YR_2012,06087,Santa Cruz,Age group=<1,Aggregate number of days in the hospital,12470.0000000000
YR_2012,06087,Santa Cruz,Age group=<1,Number of inpatient days per 100000 population,323392.1161825730
YR_2012,06087,Santa Cruz,Age group=<1,Mean cost per stay $,9042.9382313884
YR_2012,06087,Santa Cruz,Age group=<1,Aggregate costs for all hospital stays $,32210945.9802055990
YR_2012,06087,Santa Cruz,Age group=<1,Costs for inpatient stays per capita $,8353.4610944516
YR_2012,06087,Santa Cruz,Age group=1-17,Total number of discharges,964.0000000000
YR_2012,06087,Santa Cruz,Age group=1-17,Rate of discharges per 100000 population,1600.5578707931
YR_2012,06087,Santa Cruz,Age group=1-17,Mean length of stay days,3.4356846473
YR_2012,06087,Santa Cruz,Age group=1-17,Aggregate number of days in the hospital,3312.0000000000
YR_2012,06087,Santa Cruz,Age group=1-17,Number of inpatient days per 100000 population,5499.0121038038
YR_2012,06087,Santa Cruz,Age group=1-17,Mean cost per stay $,16011.0140349201
YR_2012,06087,Santa Cruz,Age group=1-17,Aggregate costs for all hospital stays $,15434617.5296630000
YR_2012,06087,Santa Cruz,Age group=1-17,Costs for inpatient stays per capita $,256.2655453297
YR_2012,06087,Santa Cruz,Age group=18-44,Total number of discharges,6467.0000000000
YR_2012,06087,Santa Cruz,Age group=18-44,Rate of discharges per 100000 population,6069.6788241698
YR_2012,06087,Santa Cruz,Age group=18-44,Mean length of stay days,3.6905829596
YR_2012,06087,Santa Cruz,Age group=18-44,Aggregate number of days in the hospital,23867.0000000000
YR_2012,06087,Santa Cruz,Age group=18-44,Number of inpatient days per 100000 population,22400.6532389766
YR_2012,06087,Santa Cruz,Age group=18-44,Mean cost per stay $,12546.8576999479
YR_2012,06087,Santa Cruz,Age group=18-44,Aggregate costs for all hospital stays $,81140528.7455630000
YR_2012,06087,Santa Cruz,Age group=18-44,Costs for inpatient stays per capita $,761.5539649125
YR_2012,06087,Santa Cruz,Age group=45-64,Total number of discharges,5849.0000000000
YR_2012,06087,Santa Cruz,Age group=45-64,Rate of discharges per 100000 population,7480.2092258898
YR_2012,06087,Santa Cruz,Age group=45-64,Mean length of stay days,4.8950247906
YR_2012,06087,Santa Cruz,Age group=45-64,Aggregate number of days in the hospital,28631.0000000000
YR_2012,06087,Santa Cruz,Age group=45-64,Number of inpatient days per 100000 population,36615.8095993248
YR_2012,06087,Santa Cruz,Age group=45-64,Mean cost per stay $,21605.3507120754
YR_2012,06087,Santa Cruz,Age group=45-64,Aggregate costs for all hospital stays $,126369696.3149289900
YR_2012,06087,Santa Cruz,Age group=45-64,Costs for inpatient stays per capita $,1616.1254372505
YR_2012,06087,Santa Cruz,Age group=65-84,Total number of discharges,7783.0000000000
YR_2012,06087,Santa Cruz,Age group=65-84,Rate of discharges per 100000 population,25391.4915829310
YR_2012,06087,Santa Cruz,Age group=65-84,Mean length of stay days,5.1300269819
YR_2012,06087,Santa Cruz,Age group=65-84,Aggregate number of days in the hospital,39927.0000000000
YR_2012,06087,Santa Cruz,Age group=65-84,Number of inpatient days per 100000 population,130259.0369307060
YR_2012,06087,Santa Cruz,Age group=65-84,Mean cost per stay $,20824.2086107040
YR_2012,06087,Santa Cruz,Age group=65-84,Aggregate costs for all hospital stays $,162074815.6171090000
YR_2012,06087,Santa Cruz,Age group=65-84,Costs for inpatient stays per capita $,5287.5771765989
YR_2012,06087,Santa Cruz,Age group=Missing,Total number of discharges,†
YR_2012,06087,Santa Cruz,Age group=Missing,Rate of discharges per 100000 population,†
YR_2012,06087,Santa Cruz,Age group=Missing,Mean length of stay days,†
YR_2012,06087,Santa Cruz,Age group=Missing,Aggregate number of days in the hospital,†
YR_2012,06087,Santa Cruz,Age group=Missing,Number of inpatient days per 100000 population,†
YR_2012,06087,Santa Cruz,Age group=Missing,Mean cost per stay $,†
YR_2012,06087,Santa Cruz,Age group=Missing,Aggregate costs for all hospital stays $,†
YR_2012,06087,Santa Cruz,Age group=Missing,Costs for inpatient stays per capita $,†
YR_2012,06087,Santa Cruz,Sex=Male,Total number of discharges,10399.0000000000
YR_2012,06087,Santa Cruz,Sex=Male,Rate of discharges per 100000 population,7395.7911057060
YR_2012,06087,Santa Cruz,Sex=Male,Mean length of stay days,4.8041157804
YR_2012,06087,Santa Cruz,Sex=Male,Aggregate number of days in the hospital,49958.0000000000
YR_2012,06087,Santa Cruz,Sex=Male,Number of inpatient days per 100000 population,35530.2367591941
YR_2012,06087,Santa Cruz,Sex=Male,Mean cost per stay $,19483.1603081247
YR_2012,06087,Santa Cruz,Sex=Male,Aggregate costs for all hospital stays $,202605384.0441890100
YR_2012,06087,Santa Cruz,Sex=Male,Costs for inpatient stays per capita $,1440.9338371787
YR_2012,06087,Santa Cruz,Sex=Female,Total number of discharges,14219.0000000000
YR_2012,06087,Santa Cruz,Sex=Female,Rate of discharges per 100000 population,10239.1462457424
YR_2012,06087,Santa Cruz,Sex=Female,Mean length of stay days,4.0953653562
YR_2012,06087,Santa Cruz,Sex=Female,Aggregate number of days in the hospital,58232.0000000000
YR_2012,06087,Santa Cruz,Sex=Female,Number of inpatient days per 100000 population,41933.0448120171
YR_2012,06087,Santa Cruz,Sex=Female,Mean cost per stay $,15090.4074253782
YR_2012,06087,Santa Cruz,Sex=Female,Aggregate costs for all hospital stays $,214570503.1814529900
YR_2012,06087,Santa Cruz,Sex=Female,Costs for inpatient stays per capita $,1545.1288853629
YR_2012,06087,Santa Cruz,Sex=Missing,Total number of discharges,†
YR_2012,06087,Santa Cruz,Sex=Missing,Rate of discharges per 100000 population,†
YR_2012,06087,Santa Cruz,Sex=Missing,Mean length of stay days,†
YR_2012,06087,Santa Cruz,Sex=Missing,Aggregate number of days in the hospital,†
YR_2012,06087,Santa Cruz,Sex=Missing,Number of inpatient days per 100000 population,†
YR_2012,06087,Santa Cruz,Sex=Missing,Mean cost per stay $,†
YR_2012,06087,Santa Cruz,Sex=Missing,Aggregate costs for all hospital stays $,†
YR_2012,06087,Santa Cruz,Sex=Missing,Costs for inpatient stays per capita $,†
YR_2012,06087,Santa Cruz,Payer=Medicare,Total number of discharges,8770.0000000000
YR_2012,06087,Santa Cruz,Payer=Medicare,Rate of discharges per 100000 population,†
YR_2012,06087,Santa Cruz,Payer=Medicare,Mean length of stay days,5.2380843786
YR_2012,06087,Santa Cruz,Payer=Medicare,Aggregate number of days in the hospital,45938.0000000000
YR_2012,06087,Santa Cruz,Payer=Medicare,Number of inpatient days per 100000 population,†
YR_2012,06087,Santa Cruz,Payer=Medicare,Mean cost per stay $,20705.8851930378
YR_2012,06087,Santa Cruz,Payer=Medicare,Aggregate costs for all hospital stays $,181590613.1429410000
YR_2012,06087,Santa Cruz,Payer=Medicare,Costs for inpatient stays per capita $,†
YR_2012,06087,Santa Cruz,Payer=Medicaid,Total number of discharges,5677.0000000000
YR_2012,06087,Santa Cruz,Payer=Medicaid,Rate of discharges per 100000 population,†
YR_2012,06087,Santa Cruz,Payer=Medicaid,Mean length of stay days,4.0905407786
YR_2012,06087,Santa Cruz,Payer=Medicaid,Aggregate number of days in the hospital,23222.0000000000
YR_2012,06087,Santa Cruz,Payer=Medicaid,Number of inpatient days per 100000 population,†
YR_2012,06087,Santa Cruz,Payer=Medicaid,Mean cost per stay $,11667.5287247261
YR_2012,06087,Santa Cruz,Payer=Medicaid,Aggregate costs for all hospital stays $,66236560.5702700020
YR_2012,06087,Santa Cruz,Payer=Medicaid,Costs for inpatient stays per capita $,†
YR_2012,06087,Santa Cruz,Payer=Private insurance,Total number of discharges,7784.0000000000
YR_2012,06087,Santa Cruz,Payer=Private insurance,Rate of discharges per 100000 population,†
YR_2012,06087,Santa Cruz,Payer=Private insurance,Mean length of stay days,3.4595323741
YR_2012,06087,Santa Cruz,Payer=Private insurance,Aggregate number of days in the hospital,26929.0000000000
YR_2012,06087,Santa Cruz,Payer=Private insurance,Number of inpatient days per 100000 population,†
YR_2012,06087,Santa Cruz,Payer=Private insurance,Mean cost per stay $,15194.4559308196
YR_2012,06087,Santa Cruz,Payer=Private insurance,Aggregate costs for all hospital stays $,118273644.9655000000
YR_2012,06087,Santa Cruz,Payer=Private insurance,Costs for inpatient stays per capita $,†
YR_2012,06087,Santa Cruz,Payer=Uninsured,Total number of discharges,986.0000000000
YR_2012,06087,Santa Cruz,Payer=Uninsured,Rate of discharges per 100000 population,†
YR_2012,06087,Santa Cruz,Payer=Uninsured,Mean length of stay days,3.8326572008
YR_2012,06087,Santa Cruz,Payer=Uninsured,Aggregate number of days in the hospital,3779.0000000000
YR_2012,06087,Santa Cruz,Payer=Uninsured,Number of inpatient days per 100000 population,†
YR_2012,06087,Santa Cruz,Payer=Uninsured,Mean cost per stay $,15551.6863455603
YR_2012,06087,Santa Cruz,Payer=Uninsured,Aggregate costs for all hospital stays $,15333962.7367224990
YR_2012,06087,Santa Cruz,Payer=Uninsured,Costs for inpatient stays per capita $,†
YR_2012,06087,Santa Cruz,Payer=Other,Total number of discharges,1410.0000000000
YR_2012,06087,Santa Cruz,Payer=Other,Rate of discharges per 100000 population,†
YR_2012,06087,Santa Cruz,Payer=Other,Mean length of stay days,5.9198581560
YR_2012,06087,Santa Cruz,Payer=Other,Aggregate number of days in the hospital,8347.0000000000
YR_2012,06087,Santa Cruz,Payer=Other,Number of inpatient days per 100000 population,†
YR_2012,06087,Santa Cruz,Payer=Other,Mean cost per stay $,25410.0847664666
YR_2012,06087,Santa Cruz,Payer=Other,Aggregate costs for all hospital stays $,35828219.5207180010
YR_2012,06087,Santa Cruz,Payer=Other,Costs for inpatient stays per capita $,†
YR_2012,06087,Santa Cruz,Payer=Missing,Total number of discharges,†
YR_2012,06087,Santa Cruz,Payer=Missing,Rate of discharges per 100000 population,†
YR_2012,06087,Santa Cruz,Payer=Missing,Mean length of stay days,†
YR_2012,06087,Santa Cruz,Payer=Missing,Aggregate number of days in the hospital,†
YR_2012,06087,Santa Cruz,Payer=Missing,Number of inpatient days per 100000 population,†
YR_2012,06087,Santa Cruz,Payer=Missing,Mean cost per stay $,†
YR_2012,06087,Santa Cruz,Payer=Missing,Aggregate costs for all hospital stays $,†
YR_2012,06087,Santa Cruz,Payer=Missing,Costs for inpatient stays per capita $,†
YR_2012,06085,Santa Clara,Santa Clara,Total number of discharges,143759.0000000000
YR_2012,06085,Santa Clara,Santa Clara,Rate of discharges per 100000 population,8091.2216163645
YR_2012,06085,Santa Clara,Santa Clara,Mean length of stay days,4.1890481784
YR_2012,06085,Santa Clara,Santa Clara,Aggregate number of days in the hospital,602213.3770751950
YR_2012,06085,Santa Clara,Santa Clara,Number of inpatient days per 100000 population,33894.5171728703
YR_2012,06085,Santa Clara,Santa Clara,Mean cost per stay $,17363.4291581271
YR_2012,06085,Santa Clara,Santa Clara,Aggregate costs for all hospital stays $,2496149212.3432002000
YR_2012,06085,Santa Clara,Santa Clara,Costs for inpatient stays per capita $,1404.9135333845
YR_2012,06085,Santa Clara,Age group=<1,Total number of discharges,26299.0000000000
YR_2012,06085,Santa Clara,Age group=<1,Rate of discharges per 100000 population,97874.9534797172
YR_2012,06085,Santa Clara,Age group=<1,Mean length of stay days,3.4470892429
YR_2012,06085,Santa Clara,Age group=<1,Aggregate number of days in the hospital,90655.0000000000
YR_2012,06085,Santa Clara,Age group=<1,Number of inpatient days per 100000 population,337383.6992928920
YR_2012,06085,Santa Clara,Age group=<1,Mean cost per stay $,8539.0009827038
YR_2012,06085,Santa Clara,Age group=<1,Aggregate costs for all hospital stays $,224567186.8441280100
YR_2012,06085,Santa Clara,Age group=<1,Costs for inpatient stays per capita $,8357.5432394540
YR_2012,06085,Santa Clara,Age group=1-17,Total number of discharges,5931.0000000000
YR_2012,06085,Santa Clara,Age group=1-17,Rate of discharges per 100000 population,1449.4453690330
YR_2012,06085,Santa Clara,Age group=1-17,Mean length of stay days,3.4634968808
YR_2012,06085,Santa Clara,Age group=1-17,Aggregate number of days in the hospital,20542.0000000000
YR_2012,06085,Santa Clara,Age group=1-17,Number of inpatient days per 100000 population,5020.1495145299
YR_2012,06085,Santa Clara,Age group=1-17,Mean cost per stay $,18474.5318537725
YR_2012,06085,Santa Clara,Age group=1-17,Aggregate costs for all hospital stays $,109572448.4247240000
YR_2012,06085,Santa Clara,Age group=1-17,Costs for inpatient stays per capita $,267.7782464050
YR_2012,06085,Santa Clara,Age group=18-44,Total number of discharges,41286.0000000000
YR_2012,06085,Santa Clara,Age group=18-44,Rate of discharges per 100000 population,5771.4808938344
YR_2012,06085,Santa Clara,Age group=18-44,Mean length of stay days,3.4697828307
YR_2012,06085,Santa Clara,Age group=18-44,Aggregate number of days in the hospital,143253.4539489750
YR_2012,06085,Santa Clara,Age group=18-44,Number of inpatient days per 100000 population,20025.7853132369
YR_2012,06085,Santa Clara,Age group=18-44,Mean cost per stay $,11909.6712123045
YR_2012,06085,Santa Clara,Age group=18-44,Aggregate costs for all hospital stays $,491702685.6712039700
YR_2012,06085,Santa Clara,Age group=18-44,Costs for inpatient stays per capita $,687.3643985367
YR_2012,06085,Santa Clara,Age group=45-64,Total number of discharges,28399.0000000000
YR_2012,06085,Santa Clara,Age group=45-64,Rate of discharges per 100000 population,6564.1938354502
YR_2012,06085,Santa Clara,Age group=45-64,Mean length of stay days,4.7991511589
YR_2012,06085,Santa Clara,Age group=45-64,Aggregate number of days in the hospital,136291.0937614440
YR_2012,06085,Santa Clara,Age group=45-64,Number of inpatient days per 100000 population,31502.5584526088
YR_2012,06085,Santa Clara,Age group=45-64,Mean cost per stay $,23573.5604159595
YR_2012,06085,Santa Clara,Age group=45-64,Aggregate costs for all hospital stays $,669465542.2528339600
YR_2012,06085,Santa Clara,Age group=45-64,Costs for inpatient stays per capita $,1547.4141996205
YR_2012,06085,Santa Clara,Age group=65-84,Total number of discharges,41821.0000000000
YR_2012,06085,Santa Clara,Age group=65-84,Rate of discharges per 100000 population,21704.1108118347
YR_2012,06085,Santa Clara,Age group=65-84,Mean length of stay days,5.0511424730
YR_2012,06085,Santa Clara,Age group=65-84,Aggregate number of days in the hospital,211243.8293647770
YR_2012,06085,Santa Clara,Age group=65-84,Number of inpatient days per 100000 population,109630.5559611060
YR_2012,06085,Santa Clara,Age group=65-84,Mean cost per stay $,23912.3404115986
YR_2012,06085,Santa Clara,Age group=65-84,Aggregate costs for all hospital stays $,1000037988.3534700000
YR_2012,06085,Santa Clara,Age group=65-84,Costs for inpatient stays per capita $,5189.9608606365
YR_2012,06085,Santa Clara,Age group=Missing,Total number of discharges,23.0000000000
YR_2012,06085,Santa Clara,Age group=Missing,Rate of discharges per 100000 population,†
YR_2012,06085,Santa Clara,Age group=Missing,Mean length of stay days,9.9130434783
YR_2012,06085,Santa Clara,Age group=Missing,Aggregate number of days in the hospital,228.0000000000
YR_2012,06085,Santa Clara,Age group=Missing,Number of inpatient days per 100000 population,†
YR_2012,06085,Santa Clara,Age group=Missing,Mean cost per stay $,34928.7302974125
YR_2012,06085,Santa Clara,Age group=Missing,Aggregate costs for all hospital stays $,803360.7968404880
YR_2012,06085,Santa Clara,Age group=Missing,Costs for inpatient stays per capita $,†
YR_2012,06085,Santa Clara,Sex=Male,Total number of discharges,57919.0000000000
YR_2012,06085,Santa Clara,Sex=Male,Rate of discharges per 100000 population,6380.8737937880
YR_2012,06085,Santa Clara,Sex=Male,Mean length of stay days,4.6448440510
YR_2012,06085,Santa Clara,Sex=Male,Aggregate number of days in the hospital,269024.7225914000
YR_2012,06085,Santa Clara,Sex=Male,Number of inpatient days per 100000 population,29638.1636814267
YR_2012,06085,Santa Clara,Sex=Male,Mean cost per stay $,20596.7420318413
YR_2012,06085,Santa Clara,Sex=Male,Aggregate costs for all hospital stays $,1192942701.7422199000
YR_2012,06085,Santa Clara,Sex=Male,Costs for inpatient stays per capita $,1314.2521146839
YR_2012,06085,Santa Clara,Sex=Female,Total number of discharges,85814.0000000000
YR_2012,06085,Santa Clara,Sex=Female,Rate of discharges per 100000 population,9874.6765075124
YR_2012,06085,Santa Clara,Sex=Female,Mean length of stay days,3.8812041681
YR_2012,06085,Santa Clara,Sex=Female,Aggregate number of days in the hospital,333061.6544837950
YR_2012,06085,Santa Clara,Sex=Female,Number of inpatient days per 100000 population,38325.6356198795
YR_2012,06085,Santa Clara,Sex=Female,Mean cost per stay $,15180.2480506126
YR_2012,06085,Santa Clara,Sex=Female,Aggregate costs for all hospital stays $,1302677806.2152700000
YR_2012,06085,Santa Clara,Sex=Female,Costs for inpatient stays per capita $,1499.0003880359
YR_2012,06085,Santa Clara,Sex=Missing,Total number of discharges,26.0000000000
YR_2012,06085,Santa Clara,Sex=Missing,Rate of discharges per 100000 population,†
YR_2012,06085,Santa Clara,Sex=Missing,Mean length of stay days,4.8846153846
YR_2012,06085,Santa Clara,Sex=Missing,Aggregate number of days in the hospital,127.0000000000
YR_2012,06085,Santa Clara,Sex=Missing,Number of inpatient days per 100000 population,†
YR_2012,06085,Santa Clara,Sex=Missing,Mean cost per stay $,20334.7840658020
YR_2012,06085,Santa Clara,Sex=Missing,Aggregate costs for all hospital stays $,528704.3857108530
YR_2012,06085,Santa Clara,Sex=Missing,Costs for inpatient stays per capita $,†
YR_2012,06085,Santa Clara,Payer=Medicare,Total number of discharges,42536.0000000000
YR_2012,06085,Santa Clara,Payer=Medicare,Rate of discharges per 100000 population,†
YR_2012,06085,Santa Clara,Payer=Medicare,Mean length of stay days,5.2047548888
YR_2012,06085,Santa Clara,Payer=Medicare,Aggregate number of days in the hospital,221389.4539489750
YR_2012,06085,Santa Clara,Payer=Medicare,Number of inpatient days per 100000 population,†
YR_2012,06085,Santa Clara,Payer=Medicare,Mean cost per stay $,24002.5657519365
YR_2012,06085,Santa Clara,Payer=Medicare,Aggregate costs for all hospital stays $,1020973136.8243700000
YR_2012,06085,Santa Clara,Payer=Medicare,Costs for inpatient stays per capita $,†
YR_2012,06085,Santa Clara,Payer=Medicaid,Total number of discharges,24592.0000000000
YR_2012,06085,Santa Clara,Payer=Medicaid,Rate of discharges per 100000 population,†
YR_2012,06085,Santa Clara,Payer=Medicaid,Mean length of stay days,3.8563469142
YR_2012,06085,Santa Clara,Payer=Medicaid,Aggregate number of days in the hospital,94835.2833137512
YR_2012,06085,Santa Clara,Payer=Medicaid,Number of inpatient days per 100000 population,†
YR_2012,06085,Santa Clara,Payer=Medicaid,Mean cost per stay $,13862.5195355498
YR_2012,06085,Santa Clara,Payer=Medicaid,Aggregate costs for all hospital stays $,340907080.4182410200
YR_2012,06085,Santa Clara,Payer=Medicaid,Costs for inpatient stays per capita $,†
YR_2012,06085,Santa Clara,Payer=Private insurance,Total number of discharges,61712.0000000000
YR_2012,06085,Santa Clara,Payer=Private insurance,Rate of discharges per 100000 population,†
YR_2012,06085,Santa Clara,Payer=Private insurance,Mean length of stay days,3.5301562095
YR_2012,06085,Santa Clara,Payer=Private insurance,Aggregate number of days in the hospital,217853.0000000000
YR_2012,06085,Santa Clara,Payer=Private insurance,Number of inpatient days per 100000 population,†
YR_2012,06085,Santa Clara,Payer=Private insurance,Mean cost per stay $,14185.5478502798
YR_2012,06085,Santa Clara,Payer=Private insurance,Aggregate costs for all hospital stays $,875418528.9364650200
YR_2012,06085,Santa Clara,Payer=Private insurance,Costs for inpatient stays per capita $,†
YR_2012,06085,Santa Clara,Payer=Uninsured,Total number of discharges,5618.0000000000
YR_2012,06085,Santa Clara,Payer=Uninsured,Rate of discharges per 100000 population,†
YR_2012,06085,Santa Clara,Payer=Uninsured,Mean length of stay days,3.5213599146
YR_2012,06085,Santa Clara,Payer=Uninsured,Aggregate number of days in the hospital,19783.0000000000
YR_2012,06085,Santa Clara,Payer=Uninsured,Number of inpatient days per 100000 population,†
YR_2012,06085,Santa Clara,Payer=Uninsured,Mean cost per stay $,14396.9827150518
YR_2012,06085,Santa Clara,Payer=Uninsured,Aggregate costs for all hospital stays $,80882248.8931612970
YR_2012,06085,Santa Clara,Payer=Uninsured,Costs for inpatient stays per capita $,†
YR_2012,06085,Santa Clara,Payer=Other,Total number of discharges,9299.0000000000
YR_2012,06085,Santa Clara,Payer=Other,Rate of discharges per 100000 population,†
YR_2012,06085,Santa Clara,Payer=Other,Mean length of stay days,5.1990149277
YR_2012,06085,Santa Clara,Payer=Other,Aggregate number of days in the hospital,48345.6398124695
YR_2012,06085,Santa Clara,Payer=Other,Number of inpatient days per 100000 population,†
YR_2012,06085,Santa Clara,Payer=Other,Mean cost per stay $,19134.6870544734
YR_2012,06085,Santa Clara,Payer=Other,Aggregate costs for all hospital stays $,177933454.9195480000
YR_2012,06085,Santa Clara,Payer=Other,Costs for inpatient stays per capita $,†
YR_2012,06085,Santa Clara,Payer=Missing,Total number of discharges,†
YR_2012,06085,Santa Clara,Payer=Missing,Rate of discharges per 100000 population,†
YR_2012,06085,Santa Clara,Payer=Missing,Mean length of stay days,†
YR_2012,06085,Santa Clara,Payer=Missing,Aggregate number of days in the hospital,†
YR_2012,06085,Santa Clara,Payer=Missing,Number of inpatient days per 100000 population,†
YR_2012,06085,Santa Clara,Payer=Missing,Mean cost per stay $,†
YR_2012,06085,Santa Clara,Payer=Missing,Aggregate costs for all hospital stays $,†
YR_2012,06085,Santa Clara,Payer=Missing,Costs for inpatient stays per capita $,†
YR_2012,06029,Kern,Kern,Total number of discharges,91023.0000000000
YR_2012,06029,Kern,Kern,Rate of discharges per 100000 population,10491.8754617852
YR_2012,06029,Kern,Kern,Mean length of stay days,4.0029206958
YR_2012,06029,Kern,Kern,Aggregate number of days in the hospital,364357.8504981990
YR_2012,06029,Kern,Kern,Number of inpatient days per 100000 population,41998.1454242430
YR_2012,06029,Kern,Kern,Mean cost per stay $,11662.9902555646
YR_2012,06029,Kern,Kern,Aggregate costs for all hospital stays $,1061600362.0322599000
YR_2012,06029,Kern,Kern,Costs for inpatient stays per capita $,1223.6664127340
YR_2012,06029,Kern,Age group=<1,Total number of discharges,15870.0000000000
YR_2012,06029,Kern,Age group=<1,Rate of discharges per 100000 population,98958.6581031365
YR_2012,06029,Kern,Age group=<1,Mean length of stay days,3.5145557656
YR_2012,06029,Kern,Age group=<1,Aggregate number of days in the hospital,55776.0000000000
YR_2012,06029,Kern,Age group=<1,Number of inpatient days per 100000 population,347795.7223919690
YR_2012,06029,Kern,Age group=<1,Mean cost per stay $,5820.2277554795
YR_2012,06029,Kern,Age group=<1,Aggregate costs for all hospital stays $,92367014.4794588980
YR_2012,06029,Kern,Age group=<1,Costs for inpatient stays per capita $,5759.6192853688
YR_2012,06029,Kern,Age group=1-17,Total number of discharges,5055.0000000000
YR_2012,06029,Kern,Age group=1-17,Rate of discharges per 100000 population,1987.7393249944
YR_2012,06029,Kern,Age group=1-17,Mean length of stay days,3.9796241345
YR_2012,06029,Kern,Age group=1-17,Aggregate number of days in the hospital,20117.0000000000
YR_2012,06029,Kern,Age group=1-17,Number of inpatient days per 100000 population,7910.4553908828
YR_2012,06029,Kern,Age group=1-17,Mean cost per stay $,11909.7449277133
YR_2012,06029,Kern,Age group=1-17,Aggregate costs for all hospital stays $,60203760.6095907990
YR_2012,06029,Kern,Age group=1-17,Costs for inpatient stays per capita $,236.7346834347
YR_2012,06029,Kern,Age group=18-44,Total number of discharges,28500.0000000000
YR_2012,06029,Kern,Age group=18-44,Rate of discharges per 100000 population,8595.1071221772
YR_2012,06029,Kern,Age group=18-44,Mean length of stay days,3.1194874268
YR_2012,06029,Kern,Age group=18-44,Aggregate number of days in the hospital,88905.3916625977
YR_2012,06029,Kern,Age group=18-44,Number of inpatient days per 100000 population,26812.3285992683
YR_2012,06029,Kern,Age group=18-44,Mean cost per stay $,8435.3903215725
YR_2012,06029,Kern,Age group=18-44,Aggregate costs for all hospital stays $,240408624.1648179900
YR_2012,06029,Kern,Age group=18-44,Costs for inpatient stays per capita $,725.0308343129
YR_2012,06029,Kern,Age group=45-64,Total number of discharges,20882.0000000000
YR_2012,06029,Kern,Age group=45-64,Rate of discharges per 100000 population,11135.7006873823
YR_2012,06029,Kern,Age group=45-64,Mean length of stay days,4.8020173929
YR_2012,06029,Kern,Age group=45-64,Aggregate number of days in the hospital,100275.7271995540
YR_2012,06029,Kern,Age group=45-64,Number of inpatient days per 100000 population,53473.8283834807
YR_2012,06029,Kern,Age group=45-64,Mean cost per stay $,16134.0689050878
YR_2012,06029,Kern,Age group=45-64,Aggregate costs for all hospital stays $,336911626.8760430200
YR_2012,06029,Kern,Age group=45-64,Costs for inpatient stays per capita $,1796.6416219666
YR_2012,06029,Kern,Age group=65-84,Total number of discharges,20701.0000000000
YR_2012,06029,Kern,Age group=65-84,Rate of discharges per 100000 population,26504.4043838984
YR_2012,06029,Kern,Age group=65-84,Mean length of stay days,4.7920557793
YR_2012,06029,Kern,Age group=65-84,Aggregate number of days in the hospital,99200.3466873169
YR_2012,06029,Kern,Age group=65-84,Number of inpatient days per 100000 population,127010.5842048000
YR_2012,06029,Kern,Age group=65-84,Mean cost per stay $,16008.6466548469
YR_2012,06029,Kern,Age group=65-84,Aggregate costs for all hospital stays $,331394994.4019860000
YR_2012,06029,Kern,Age group=65-84,Costs for inpatient stays per capita $,4242.9964457900
YR_2012,06029,Kern,Age group=Missing,Total number of discharges,15.0000000000
YR_2012,06029,Kern,Age group=Missing,Rate of discharges per 100000 population,†
YR_2012,06029,Kern,Age group=Missing,Mean length of stay days,5.5589965820
YR_2012,06029,Kern,Age group=Missing,Aggregate number of days in the hospital,83.3849487305
YR_2012,06029,Kern,Age group=Missing,Number of inpatient days per 100000 population,†
YR_2012,06029,Kern,Age group=Missing,Mean cost per stay $,20956.1000244300
YR_2012,06029,Kern,Age group=Missing,Aggregate costs for all hospital stays $,314341.5003664500
YR_2012,06029,Kern,Age group=Missing,Costs for inpatient stays per capita $,†
YR_2012,06029,Kern,Sex=Male,Total number of discharges,37473.0000000000
YR_2012,06029,Kern,Sex=Male,Rate of discharges per 100000 population,8349.6175347984
YR_2012,06029,Kern,Sex=Male,Mean length of stay days,4.5024879073
YR_2012,06029,Kern,Sex=Male,Aggregate number of days in the hospital,168721.7293510440
YR_2012,06029,Kern,Sex=Male,Number of inpatient days per 100000 population,37594.0519811862
YR_2012,06029,Kern,Sex=Male,Mean cost per stay $,13561.0638174761
YR_2012,06029,Kern,Sex=Male,Aggregate costs for all hospital stays $,508173744.4322810200
YR_2012,06029,Kern,Sex=Male,Costs for inpatient stays per capita $,1132.2969624092
YR_2012,06029,Kern,Sex=Female,Total number of discharges,53536.0000000000
